iter	RMSE
0	49.02544033
1	48.71230236
2	48.40213253
3	48.02126728
4	47.68998036
5	47.40767719
6	47.15432062
7	46.85655964
8	46.55542818
9	46.17547848
10	45.90837799
11	45.61495281
12	45.33498348
13	45.14603141
14	44.81987226
15	44.53484507
16	44.17348504
17	43.9096701
18	43.64564319
19	43.35829987
20	43.05783941
21	42.75784248
22	42.5512361
23	42.35025362
24	41.9877944
25	41.76590436226	41.5095147
27	32.9686029
28	32.80212171
29	32.63196445
30	32.440925
31	32.26907685
32	32.12583602
33	31.95614469
34	31.75050934
35	31.54818989
36	31.39706385
37	31.27491031
38	31.1241683
39	30.96916929
40	30.81997927
41	30.6427762
42	30.42307031
43	30.28382719
44	30.1381719
45	29.96991064
46	29.81141542
47	29.66892186
48	29.51288999
49	29.34876647
50	29.20531516
51	29.08210188
52	28.93464687
53	28.77850659
54	28.63966626
55	28.50038323
56	28.37430953
57	28.21270687
58	28.054211
59	27.93637068
60	27.79358523
61	27.65521307
62	27.52868241
63	27.402627
64	27.22470527
65	27.08764916
66	26.93664083
67	26.77983621
68	26.66922826
69	26.55752257
70	26.43617465
71	26.28083913
72	26.10584293
73	25.97103773
74	25.83715868
75	25.70017852
76	25.57661882
77	25.48286691
78	25.32775521
79	25.18992173
80	25.06237852
81	24.95018263
82	24.82196033
83	24.70247407
84	24.58596777
85	24.44301139
86	24.33344796
87	24.2186781
88	24.0964174
89	23.98845367
90	23.90331393
91	23.77278741
92	23.66759843
93	23.56035874
94	23.44600356
95	23.30972195
96	23.21218614
97	23.08936733
98	22.98750412
99	22.8439738
100	22.7097445
101	22.63403295
102	22.49449171
103	22.38232507
104	22.27100987
105	22.14635954
106	22.0623165
107	21.9379335
108	21.84133168
109	21.7431993
110	21.64625496
111	21.54957283
112	21.44184979
113	21.33321871
114	21.23057107
115	21.11273813
116	21.02702377
117	20.94427321
118	20.85131074
119	20.7731676
120	20.6779451
121	20.56738239
122	20.45658876
123	20.35660671
124	20.27710447
125	20.18858062
126	20.08493846
127	19.98551086
128	19.90078611
129	19.81187597
130	19.71243026
131	19.59271278
132	19.50439338
133	19.37785614
134	19.28136954
135	19.1813464
136	19.06555284
137	18.96246331
138	18.87317332
139	18.77507639
140	18.67711054
141	18.59724619
142	18.50392189
143	18.41199063
144	18.3559482
145	18.28019696
146	18.19459528
147	18.12243453
148	18.03146897
149	17.93334433
150	17.85654994
151	17.76663759
152	17.69355335
153	17.61870257
154	17.51216248
155	17.42406839
156	17.34991711
157	17.27886467
158	17.20948645
159	17.11810394
160	17.01514832
161	16.94061154
162	16.83923572
163	16.74777105
164	16.66370562
165	16.56909963
166	16.48920848
167	16.37749261
168	16.28942284
169	16.17711585
170	16.09591482
171	16.02943085
172	15.96652438
173	15.88828444
174	15.80266502
175	15.72105293
176	15.62269929
177	15.53905649
178	15.46105761
179	15.38384084
180	15.31803306
181	15.24094794
182	15.16226362
183	15.08399802
184	15.01160875
185	14.96642808
186	14.91890213
187	14.85075974
188	14.78183004
189	14.70930419
190	14.63066171
191	14.5550657
192	14.46611331
193	14.38341547
194	14.31101808
195	14.24462878
196	14.17525353
197	14.10410084
198	14.02654687
199	13.96521473
200	13.89306363
201	13.81746066
202	13.7434825
203	13.6859487
204	13.60448284
205	13.53495129
206	13.47332881
207	13.42065573
208	13.35464533
209	13.28761169
210	13.21888364
211	13.15055958
212	13.08495659
213	13.01899827
214	12.95248976
215	12.8992025
216	12.84054872
217	12.76750918
218	12.70148583
219	12.63063434
220	12.56771866
221	12.504635
222	12.44240387
223	12.36842662
224	12.3063433
225	12.24228387
226	12.19114986
227	12.12914149
228	12.05484285
229	11.99253474
230	11.92780415
231	11.86618936
232	11.80490283
233	11.74391675
234	11.68328131
235	11.62296861
236	11.56395765
237	11.50489517
238	11.43374241
239	11.38513444
240	11.33661212
241	11.27216877
242	11.20812719
243	11.15024065
244	11.08280309
245	11.02715342
246	10.97021111
247	10.92028065
248	10.86390594
249	10.8030442
250	10.75395746
251	10.69842498
252	10.64472424
253	10.5897762
254	10.5351205
255	10.47820574
256	10.42413771
257	10.37035712
258	10.31830312
259	10.26507687
260	10.20436819
261	10.15174384
262	10.10078717
263	10.05047114
264	9.998646796
265	9.938301402
266	9.888754639
267	9.843792049
268	9.794381135
269	9.743878476
270	9.701720507
271	9.652464886
272	9.604014339
273	9.555117398
274	9.506522931
275	9.457517826
276	9.408764197
277	9.361528701
278	9.307365517
279	9.260647196
280	9.207810305
281	9.166042782
282	9.119573229
283	9.064112066
284	9.018219135
285	8.972952184
286	8.92503351
287	8.877221869
288	8.828676737
289	8.783215161
290	8.736256457
291	8.68853352
292	8.644632016
293	8.600997369
294	8.563776208
295	8.520591789
296	8.471413801
297	8.426470891
298	8.384077132
299	8.347829967
300	8.305922641
301	8.270064495
302	8.22629511
303	8.190824697
304	8.149705021
305	8.108664748
306	8.066914455
307	8.026422579
308	7.985166053
309	7.947675056
310	7.906835156
311	7.867146797
312	7.826653583
313	7.792920359
314	7.759381121
315	7.720432908
316	7.687254121
317	7.648667949
318	7.610271759
319	7.572068363
320	7.539575216
321	7.500733778
322	7.462176732
323	7.423831056
324	7.384648611
325	7.352972551
326	7.316064306
327	7.277510825
328	7.240153011
329	7.209129224
330	7.172943
331	7.136125642
332	7.10030586
333	7.063873956
334	7.028414135
335	6.991486353
336	6.95564236
337	6.919175777
338	6.884444974
339	6.849888503
340	6.815505489
341	6.780592206
342	6.751541086
343	6.717965947
344	6.684245118
345	6.65069355
346	6.617310394
347	6.589003298
348	6.555929797
349	6.523022307
350	6.489617636
351	6.457043001
352	6.424631874
353	6.392383435
354	6.360296867
355	6.327076111
356	6.295317353
357	6.263718008
358	6.232277276
359	6.200994361
360	6.16986847
361	6.138898816
362	6.108084613
363	6.077425083
364	6.046919449
365	6.016566937
366	5.98636678
367	5.956318212
368	5.926420473
369	5.896672806
370	5.867074457
371	5.837624678
372	5.807754467
373	5.778602444
374	5.74959675
375	5.720736649
376	5.692021412
377	5.663450311
378	5.635022623
379	5.606737627
380	5.578594608
381	5.550592853
382	5.522731653
383	5.494482655
384	5.4669031
385	5.43946198
386	5.412158601
387	5.384992271
388	5.357962303
389	5.331068012
390	5.304308716
391	5.277683739
392	5.251192406
393	5.224834046
394	5.198607992
395	5.17251358
396	5.146550148
397	5.12071704
398	5.095013601
399	5.069439181
400	5.043993131
401	5.018674808
402	4.99348357
403	4.96841878
404	4.943479802
405	4.918666006
406	4.893976762
407	4.869411446
408	4.844969436
409	4.820650112
410	4.796452859
411	4.772377065
412	4.748422118
413	4.724587414
414	4.700872348
415	4.677276319
416	4.653798731
417	4.630438989
418	4.607196501
419	4.584070678
420	4.561060936
421	4.538166691
422	4.515387364
423	4.492722377
424	4.470171157
425	4.447733134
426	4.425407738
427	4.403194404
428	4.38109257
429	4.359101676
430	4.337221165
431	4.315450484
432	4.293789081
433	4.272236407
434	4.250791917
435	4.229455067
436	4.208225318
437	4.187102131
438	4.166084972
439	4.145173309
440	4.124366612
441	4.103664354
442	4.083066011
443	4.062571061
444	4.042178986
445	4.021889269
446	4.001701396
447	3.981614857
448	3.961629141
449	3.941743744
450	3.921958162
451	3.902271893
452	3.882684439
453	3.863195305
454	3.843803997
455	3.824510023
456	3.805312895
457	3.786212127
458	3.767207236
459	3.748297739
460	3.729483159
461	3.710763019
462	3.692136844
463	3.673604163
464	3.655164508
465	3.63681741
466	3.618562405
467	3.600399031
468	3.582326829
469	3.564345339
470	3.546454108
471	3.528652682
472	3.51094061
473	3.493317444
474	3.475782738
475	3.458336046
476	3.440976929
477	3.423704945
478	3.406519659
479	3.389420634
480	3.372407437
481	3.355479638
482	3.338636808
483	3.321878521
484	3.305204352
485	3.288613879
486	3.272106682
487	3.255682343
488	3.239340446
489	3.223080577
490	3.206902324
491	3.190805278
492	3.174789031
493	3.158853178
494	3.142997314
495	3.12722104
496	3.111523954
497	3.09590566
498	3.080365761
499	3.064903866
500	3.049519581
501	3.034212518
502	3.018982288
503	3.003828507
504	2.98875079
505	2.973748756
506	2.958822024
507	2.943970217
508	2.929192959
509	2.914489875
510	2.899860593
511	2.885304743
512	2.870821956
513	2.856411866
514	2.842074107
515	2.827808316
516	2.813614132
517	2.799491196
518	2.785439151
519	2.771457639
520	2.757546308
521	2.743704804
522	2.729932778
523	2.716229881
524	2.702595765
525	2.689030086
526	2.675532499
527	2.662102664
528	2.64874024
529	2.635444889
530	2.622216273
531	2.609054059
532	2.595957912
533	2.582927502
534	2.569962497
535	2.557062571
536	2.544227395
537	2.531456646
538	2.51875
539	2.506107134
540	2.49352773
541	2.481011468
542	2.468558031
543	2.456167104
544	2.443838373
545	2.431571527
546	2.419366254
547	2.407222245
548	2.395139193
549	2.383116792
550	2.371154738
551	2.359252727
552	2.347410458
553	2.335627631
554	2.323903948
555	2.312239113
556	2.300632829
557	2.289084802
558	2.277594741
559	2.266162355
560	2.254787353
561	2.243469448
562	2.232208353
563	2.221003784
564	2.209855455
565	2.198763086
566	2.187726395
567	2.176745102
568	2.165818931
569	2.154947603
570	2.144130843
571	2.133368379
572	2.122659936
573	2.112005245
574	2.101404035
575	2.090856037
576	2.080360986
577	2.069918614
578	2.059528658
579	2.049190854
580	2.03890494
581	2.028670657
582	2.018487745
583	2.008355946
584	1.998275003
585	1.988244662
586	1.978264668
587	1.968334769
588	1.958454713
589	1.948624249
590	1.93884313
591	1.929111107
592	1.919427934
593	1.909793366
594	1.900207158
595	1.890669068
596	1.881178855
597	1.871736278
598	1.862341098
599	1.852993077
600	1.843691978
601	1.834437567
602	1.825229607
603	1.816067868
604	1.806952115
605	1.797882119
606	1.78885765
607	1.779878479
608	1.770944379
609	1.762055124
610	1.753210488
611	1.744410249
612	1.735654181
613	1.726942065
614	1.71827368
615	1.709648805
616	1.701067223
617	1.692528716
618	1.684033069
619	1.675580065
620	1.667169491
621	1.658801134
622	1.650474782
623	1.642190223
624	1.63394725
625	1.625745652
626	1.617585222
627	1.609465753
628	1.601387039
629	1.593348877
630	1.585351063
631	1.577393393
632	1.569475667
633	1.561597684
634	1.553759245
635	1.54596015
636	1.538200204
637	1.530479208
638	1.522796967
639	1.515153288
640	1.507547976
641	1.499980839
642	1.492451686
643	1.484960325
644	1.477506566
645	1.470090222
646	1.462711105
647	1.455369026
648	1.448063802
649	1.440795245
650	1.433563174
651	1.426367404
652	1.419207752
653	1.412084039
654	1.404996084
655	1.397943706
656	1.390926728
657	1.383944971
658	1.376998259
659	1.370086417
660	1.363209268
661	1.356366639
662	1.349558357
663	1.342784249
664	1.336044143
665	1.32933787
666	1.322665259
667	1.31602614
668	1.309420347
669	1.302847712
670	1.296308068
671	1.28980125
672	1.283327093
673	1.276885432
674	1.270476106
675	1.264098951
676	1.257753807
677	1.251440512
678	1.245158906
679	1.238908831
680	1.232690128
681	1.22650264
682	1.22034621
683	1.214220683
684	1.208125902
685	1.202061714
686	1.196027965
687	1.190024503
688	1.184051175
689	1.17810783
690	1.172194318
691	1.166310489
692	1.160456194
693	1.154631284
